Date, Iteration, Virial Sum, Potential Energy 
2026-02-16 02:33:49,643,-6811239.1794586005,-5926321.888534022
2026-02-16 02:34:20,644,-6811689.865731399,-5924621.9820990395
2026-02-16 02:34:51,645,-6812138.347696225,-5922932.639473975
2026-02-16 02:35:11,646,-6812586.476350568,-5921254.924570419
2026-02-16 02:35:42,647,-6813036.333835474,-5919632.310992341
2026-02-16 02:36:13,648,-6813490.049090222,-5918105.204625834
2026-02-16 02:36:44,649,-6813949.82221432,-5916746.368461935
2026-02-16 02:37:15,650,-6814417.647483173,-5915546.890329398
2026-02-16 02:37:47,651,-6814896.389629628,-5914569.643912112
2026-02-16 02:38:18,652,-6815388.809315131,-5913816.964321893
2026-02-16 02:38:49,653,-6815896.357319918,-5913375.078929235
2026-02-16 02:39:20,654,-6816419.868588068,-5913177.744389785
2026-02-16 02:39:52,655,-6816959.945135946,-5913255.009982578
2026-02-16 02:40:11,656,-6817516.826220452,-5913556.926281536
2026-02-16 02:40:42,657,-6818090.522367065,-5914104.389351975
2026-02-16 02:41:13,658,-6818680.868604131,-5914968.468403423
2026-02-16 02:41:44,659,-6819287.545008854,-5916228.63834515
2026-02-16 02:42:16,660,-6819910.111149157,-5917694.253453973
2026-02-16 02:42:47,661,-6820549.176816825,-5919475.523791954
2026-02-16 02:43:18,662,-6821205.4312796155,-5921535.267146566
2026-02-16 02:43:49,663,-6821877.584931348,-5923852.766489634
2026-02-16 02:44:21,664,-6822564.018938801,-5926413.494326148
2026-02-16 02:44:52,665,-6823262.788866244,-5929235.717823586
2026-02-16 02:45:12,666,-6823971.86145525,-5932312.226948728
2026-02-16 02:45:43,667,-6824689.140488174,-5935450.005559668
2026-02-16 02:46:14,668,-6825412.551801567,-5938729.458227817
2026-02-16 02:46:45,669,-6826140.126592707,-5942119.928430006
2026-02-16 02:47:16,670,-6826870.077635836,-5945532.507224863
2026-02-16 02:47:47,671,-6827602.410032769,-5949062.535612985
2026-02-16 02:48:19,672,-6828337.943203665,-5952634.810959187
2026-02-16 02:48:50,673,-6829075.450148315,-5956295.000257987
2026-02-16 02:49:21,674,-6829813.795290635,-5959964.262186111
2026-02-16 02:49:53,675,-6830551.649751641,-5963669.561072006
2026-02-16 02:50:12,676,-6831287.456318002,-5967366.799872985
2026-02-16 02:50:43,677,-6832019.462389267,-5970940.6611271985
2026-02-16 02:51:14,678,-6832745.471808199,-5974447.030667741
2026-02-16 02:51:45,679,-6833462.960715048,-5977911.281189073
2026-02-16 02:52:17,680,-6834169.174521691,-5981213.634086311
2026-02-16 02:52:48,681,-6834862.684788476,-5984320.339740364
2026-02-16 02:53:19,682,-6835542.630058265,-5987222.658579535
2026-02-16 02:53:50,683,-6836206.2720923675,-5989953.2168275565
2026-02-16 02:54:22,684,-6836851.203961198,-5992392.473784032
2026-02-16 02:54:53,685,-6837475.884179884,-5994595.349382892
2026-02-16 02:55:12,686,-6838079.546077448,-5996404.634678902
2026-02-16 02:55:43,687,-6838662.352890513,-5998007.947965315
2026-02-16 02:56:15,688,-6839225.322909552,-5999264.387144141
2026-02-16 02:56:46,689,-6839770.233771208,-6000237.980661994
2026-02-16 02:57:17,690,-6840299.19868452,-6001044.507155496
2026-02-16 02:57:48,691,-6840815.88787911,-6001642.6962835165
2026-02-16 02:58:19,692,-6841324.247613825,-6002172.814592752
2026-02-16 02:58:51,693,-6841826.276769434,-6002535.655511814
2026-02-16 02:59:22,694,-6842323.782591307,-6002861.502315318
2026-02-16 02:59:54,695,-6842818.101725284,-6003062.019825369
2026-02-16 03:00:13,696,-6843310.351084565,-6003264.38630349
