Date, Iteration, Virial Sum, Potential Energy 
2026-02-24 05:22:38,302,-6473177.564821396,-4716968.958056944
2026-02-24 05:23:06,303,-6475485.76582057,-4733095.224370303
2026-02-24 05:23:35,304,-6477769.804550465,-4749147.403541787
2026-02-24 05:24:03,305,-6480030.549657501,-4765118.973156342
2026-02-24 05:24:32,306,-6482268.745090005,-4780936.280714233
2026-02-24 05:25:00,307,-6484485.064849395,-4796614.430312568
2026-02-24 05:25:29,308,-6486679.854536078,-4812235.786406397
2026-02-24 05:25:58,309,-6488853.315423393,-4827765.104646031
2026-02-24 05:26:27,310,-6491005.187135049,-4843053.202460516
2026-02-24 05:26:43,311,-6493137.5770984925,-4858292.036907958
2026-02-24 05:27:12,312,-6495257.60525486,-4873632.315575145
2026-02-24 05:27:40,313,-6497363.895563214,-4888847.711259933
2026-02-24 05:28:09,314,-6499454.728400153,-4904083.642692439
2026-02-24 05:28:38,315,-6501528.103183298,-4919253.049104234
2026-02-24 05:29:06,316,-6503581.869697799,-4934258.291170651
2026-02-24 05:29:35,317,-6505613.769660656,-4949066.971626131
2026-02-24 05:30:04,318,-6507621.467841077,-4963615.993506568
2026-02-24 05:30:32,319,-6509602.522968572,-4977941.7799918335
2026-02-24 05:31:02,320,-6511554.409643524,-4992050.509188976
2026-02-24 05:31:18,321,-6513477.229899879,-5005838.472157308
2026-02-24 05:31:47,322,-6515375.287590221,-5019458.121520335
2026-02-24 05:32:15,323,-6517245.683485214,-5032781.74693734
2026-02-24 05:32:44,324,-6519085.429262765,-5045796.437562584
2026-02-24 05:33:12,325,-6520891.574281451,-5058435.152069534
2026-02-24 05:33:41,326,-6522661.404191556,-5070714.132800391
2026-02-24 05:34:10,327,-6524392.525633678,-5082465.575517163
2026-02-24 05:34:38,328,-6526083.171443451,-5093797.408369449
2026-02-24 05:35:07,329,-6527732.4036465,-5104665.87926372
2026-02-24 05:35:36,330,-6529339.838662361,-5115041.896162634
2026-02-24 05:35:53,331,-6530908.767947205,-5124980.510829037
2026-02-24 05:36:22,332,-6532446.453813538,-5134586.390804633
2026-02-24 05:36:50,333,-6533954.830629057,-5143884.484658998
2026-02-24 05:37:19,334,-6535436.43069519,-5152846.514121621
2026-02-24 05:37:47,335,-6536893.981553693,-5161616.4500440955
2026-02-24 05:38:16,336,-6538330.411702495,-5170204.188260271
2026-02-24 05:38:45,337,-6539748.729566955,-5178626.03773921
2026-02-24 05:39:14,338,-6541151.917311583,-5186944.948338646
2026-02-24 05:39:42,339,-6542542.821087438,-5195133.236035648
2026-02-24 05:40:11,340,-6543924.322120628,-5203319.796618963
2026-02-24 05:40:28,341,-6545301.379004483,-5211492.706413789
2026-02-24 05:40:57,342,-6546680.941292632,-5219789.158429643
2026-02-24 05:41:25,343,-6548064.926232748,-5228265.404426372
2026-02-24 05:41:54,344,-6549454.530170869,-5236893.874763711
2026-02-24 05:42:22,345,-6550850.163554589,-5245654.577610842
2026-02-24 05:42:51,346,-6552251.625469469,-5254610.426754903
2026-02-24 05:43:20,347,-6553657.995631167,-5263709.654320547
2026-02-24 05:43:49,348,-6555067.954129539,-5272964.128018988
2026-02-24 05:44:17,349,-6556480.0397306075,-5282299.569310389
2026-02-24 05:44:46,350,-6557892.885691397,-5291675.950840846
2026-02-24 05:45:03,351,-6559307.5342367245,-5301155.179442501
2026-02-24 05:45:32,352,-6560727.276419538,-5310816.279476462
2026-02-24 05:46:00,353,-6562151.210538137,-5320601.162505389
2026-02-24 05:46:29,354,-6563578.256890471,-5330556.539337518
2026-02-24 05:46:57,355,-6565007.01502636,-5340546.684796751
2026-02-24 05:47:26,356,-6566435.709672008,-5350668.675962586
